Student,LPIPS,SSIM
113590044.png,0.0,1.0
112590452.png,0.2479923516511917,0.6707516669968925
113590033.png,0.2485238015651703,0.675348406976236
111590047.png,0.2560802102088928,0.7183520295662748
113590051.png,0.2651981711387634,0.6448643943890022
113590026.png,0.27153638005256653,0.7099367157219104
113370239.png,0.2786526381969452,0.6733475445228992
113590031.png,0.2814429700374603,0.6559528569352975
113590001.png,0.28623127937316895,0.6272855720116084
112590040.png,0.28926748037338257,0.5994770946888752
113590015.png,0.29179632663726807,0.6282985908790049
113590052.png,0.2929437756538391,0.6174103516577869
113590060.png,0.29879921674728394,0.6531028789965923
113590062.png,0.30009132623672485,0.5642221427361103
113590045.png,0.30356642603874207,0.6188020186201195
113590036.png,0.3068103790283203,0.6358027166095586
113590056.png,0.30714908242225647,0.6383233065171989
113590039.png,0.31018683314323425,0.6114503802670274
113590061.png,0.3107200264930725,0.6374093012002726
113AB0018.png,0.31145334243774414,0.5812465981598898
112590454.png,0.31146901845932007,0.5967677357369292
111590062.png,0.323085218667984,0.6153654845249195
113590040.png,0.32964468002319336,0.631134769670141
113590022.png,0.3298984169960022,0.6148619512631874
113590057.png,0.3308528661727905,0.5955830788526438
113590018.png,0.3393383324146271,0.6170888536620647
113590021.png,0.34235823154449463,0.5864073404016142
113590059.png,0.35836154222488403,0.5506414236912717
113590003.png,0.3643070161342621,0.6137581608805828
111590028.png,0.3653421103954315,0.6464977103146629
110590455.png,0.36583033204078674,0.6232616923945743
112590455.png,0.37171319127082825,0.618952539020457
114054809.png,0.37362661957740784,0.6265882499868576
113590006.png,0.3774517774581909,0.5210046216634026
113590050.png,0.3791266083717346,0.5313436387570563
113590011.png,0.3798644244670868,0.566980828209913
113590047.png,0.3804897964000702,0.6830309226783601
113590028.png,0.38130316138267517,0.5415018358011763
113590032.png,0.3846474885940552,0.6496631580647301
113AC1012.png,0.38764286041259766,0.5998467269325278
113590004.png,0.3882710933685303,0.6884912218857859
113590002.png,0.3902762830257416,0.5825254655810862
113590049.png,0.3910922408103943,0.4697985291575753
113590023.png,0.39628899097442627,0.4869791256459989
113590010.png,0.4103277921676636,0.5536312628046862
113590043.png,0.4227706491947174,0.689863611512929
113590025.png,0.4308844208717346,0.688913790270596
113590042.png,0.44641703367233276,0.5362028317783725
111590042.png,0.4509144723415375,0.6962342588218817
112590058.jpg,0.4695781469345093,0.40139873690911454
113590008.png,0.4704098701477051,0.45780832074594285
111590455.png,0.4969213008880615,0.5147179547163353
